Date,Hour,NOx,NO,NO2
,,ug/m3,ug/m3,ug/m3
01/01/2018,1,0.8,-0.1,1.1
01/01/2018,2,0.8,-0.4,1.1
01/01/2018,3,0.8,-0.3,1.1
01/01/2018,4,0.8,-0.4,1.3
01/01/2018,5,1.3,-0.5,2.1
01/01/2018,6,1.0,-0.3,1.3
01/01/2018,7,1.3,0.0,1.1
01/01/2018,8,7.1,2.1,3.8
01/01/2018,9,3.4,0.8,2.1
01/01/2018,10,2.5,0.5,1.7
01/01/2018,11,2.3,0.4,1.7
01/01/2018,12,2.3,0.3,2.1
01/01/2018,13,3.6,0.6,2.7
01/01/2018,14,4.4,0.9,3.1
01/01/2018,15,3.4,0.5,2.9
01/01/2018,16,5.0,1.0,3.4
01/01/2018,17,4.4,0.8,3.2
01/01/2018,18,5.2,0.5,4.6
01/01/2018,19,5.0,0.3,4.6
01/01/2018,20,7.1,0.3,6.5
01/01/2018,21,22.9,1.5,20.8
01/01/2018,22,21.8,2.3,18.1
01/01/2018,23,46.0,5.6,37.4
01/01/2018,24,9.4,0.1,9.2
02/01/2018,1,18.5,0.5,17.6
02/01/2018,2,9.9,0.4,9.2
02/01/2018,3,7.8,0.3,7.3
02/01/2018,4,2.9,-0.1,3.1
02/01/2018,5,2.3,0.0,2.5
02/01/2018,6,1.9,-0.4,2.5
02/01/2018,7,1.7,0.0,1.7
02/01/2018,8,10.5,3.4,5.3
02/01/2018,9,8.0,1.9,5.2
02/01/2018,10,6.5,1.5,4.0
02/01/2018,11,7.1,1.6,4.8
02/01/2018,12,6.9,1.5,4.6
02/01/2018,13,9.4,2.0,6.3
02/01/2018,14,7.4,1.1,5.7
02/01/2018,15,10.5,1.3,8.6
02/01/2018,16,25.8,5.1,18.0
02/01/2018,17,24.8,4.0,18.7
02/01/2018,18,19.3,2.9,14.9
02/01/2018,19,0.0,0.0,0.0
02/01/2018,20,2.1,0.0,2.1
02/01/2018,21,1.5,0.0,1.7
02/01/2018,22,1.7,0.0,1.7
02/01/2018,23,0.6,-0.4,1.0
02/01/2018,24,0.8,-0.1,1.0
03/01/2018,1,0.4,-0.1,0.6
03/01/2018,2,0.4,-0.1,0.6
03/01/2018,3,0.0,-0.3,0.6
03/01/2018,4,-0.2,-0.4,0.6
03/01/2018,5,0.0,-0.3,0.4
03/01/2018,6,-0.2,-0.4,0.4
03/01/2018,7,1.9,0.5,1.1
03/01/2018,8,1.9,0.4,1.3
03/01/2018,9,1.3,-0.1,1.3
03/01/2018,10,1.9,0.0,1.7
03/01/2018,11,2.3,0.1,1.9
03/01/2018,12,6.9,2.0,4.0
03/01/2018,13,4.0,1.0,2.5
03/01/2018,14,3.4,0.5,2.7
03/01/2018,15,3.4,0.6,2.7
03/01/2018,16,5.0,1.3,3.1
03/01/2018,17,4.4,1.0,2.9
03/01/2018,18,4.2,0.8,2.9
03/01/2018,19,2.7,0.3,2.3
03/01/2018,20,2.1,0.0,2.1
03/01/2018,21,2.3,0.0,2.3
03/01/2018,22,2.1,-0.1,2.5
03/01/2018,23,9.7,0.3,9.4
03/01/2018,24,4.4,-0.1,4.6
04/01/2018,1,4.0,0.0,4.2
04/01/2018,2,1.1,-0.1,1.3
04/01/2018,3,12.0,-0.1,12.2
04/01/2018,4,4.0,-0.1,4.2
04/01/2018,5,1.3,-0.1,1.5
04/01/2018,6,1.9,0.0,1.9
04/01/2018,7,4.2,-0.1,4.4
04/01/2018,8,9.6,1.4,7.6
04/01/2018,9,8.4,1.6,5.7
04/01/2018,10,12.2,2.4,8.6
04/01/2018,11,9.6,1.9,6.7
04/01/2018,12,8.6,1.4,6.7
04/01/2018,13,9.9,1.8,7.3
04/01/2018,14,8.6,1.4,6.3
04/01/2018,15,8.4,1.6,5.9
04/01/2018,16,12.2,2.5,8.4
04/01/2018,17,17.0,2.6,13.0
04/01/2018,18,24.6,2.9,20.2
04/01/2018,19,22.5,1.9,19.7
04/01/2018,20,20.6,0.9,19.5
04/01/2018,21,26.5,2.3,23.1
04/01/2018,22,53.3,7.1,42.4
04/01/2018,23,60.2,10.3,44.5
04/01/2018,24,116.7,35.4,62.6
05/01/2018,1,62.8,9.9,47.8
05/01/2018,2,49.3,6.3,39.7
05/01/2018,3,61.3,15.1,38.2
05/01/2018,4,25.6,3.3,20.8
05/01/2018,5,10.9,0.4,10.5
05/01/2018,6,7.3,-0.1,7.4
05/01/2018,7,7.3,0.1,7.1
05/01/2018,8,17.0,3.6,11.5
05/01/2018,9,27.3,3.4,22.2
05/01/2018,10,32.1,5.1,24.3
05/01/2018,11,26.5,4.5,19.7
05/01/2018,12,13.8,2.6,9.7
05/01/2018,13,10.9,2.3,7.4
05/01/2018,14,15.5,2.6,11.5
05/01/2018,15,22.0,2.5,18.1
05/01/2018,16,29.2,5.3,21.2
05/01/2018,17,55.2,11.6,37.2
05/01/2018,18,80.4,18.9,51.6
05/01/2018,19,68.8,14.5,46.6
05/01/2018,20,88.1,24.5,50.6
05/01/2018,21,76.2,19.8,46.0
05/01/2018,22,103.3,32.6,53.3
05/01/2018,23,67.6,15.1,44.5
05/01/2018,24,24.3,0.8,22.9
06/01/2018,1,10.7,0.0,10.7
06/01/2018,2,5.2,-0.3,5.5
06/01/2018,3,3.4,-0.3,4.0
06/01/2018,4,4.4,0.0,4.4
06/01/2018,5,5.7,-0.3,6.1
06/01/2018,6,3.1,-0.1,3.2
06/01/2018,7,1.9,-0.3,2.3
06/01/2018,8,2.9,-0.4,3.4
06/01/2018,9,3.1,-0.1,3.2
06/01/2018,10,5.9,0.3,5.5
06/01/2018,11,7.3,0.1,7.1
06/01/2018,12,6.5,0.4,5.9
06/01/2018,13,6.3,0.6,5.3
06/01/2018,14,5.9,0.5,5.2
06/01/2018,15,6.7,0.5,5.7
06/01/2018,16,6.5,0.3,6.1
06/01/2018,17,8.4,0.3,8.0
06/01/2018,18,12.6,0.4,12.2
06/01/2018,19,23.7,0.9,22.3
06/01/2018,20,23.5,0.8,22.2
06/01/2018,21,21.8,0.5,21.0
06/01/2018,22,12.8,0.0,12.6
06/01/2018,23,14.3,-0.1,14.7
06/01/2018,24,11.5,-0.3,11.8
07/01/2018,1,12.8,0.1,12.6
07/01/2018,2,10.3,-0.1,10.5
07/01/2018,3,6.1,-0.3,6.5
07/01/2018,4,6.9,-0.1,7.1
07/01/2018,5,8.0,0.1,7.8
07/01/2018,6,7.6,0.0,7.6
07/01/2018,7,7.8,0.1,7.8
07/01/2018,8,10.7,0.4,10.1
07/01/2018,9,19.5,1.0,18.0
07/01/2018,10,69.9,18.9,41.1
07/01/2018,11,52.5,16.6,27.1
07/01/2018,12,85.0,32.9,34.8
07/01/2018,13,19.7,2.8,15.3
07/01/2018,14,18.5,2.6,14.5
07/01/2018,15,24.3,4.3,17.8
07/01/2018,16,28.8,4.4,22.2
07/01/2018,17,63.2,12.4,44.3
07/01/2018,18,52.1,5.9,43.2
07/01/2018,19,63.2,9.0,49.5
07/01/2018,20,66.1,9.0,52.3
07/01/2018,21,36.5,2.6,32.5
07/01/2018,22,44.3,5.6,35.7
07/01/2018,23,25.4,0.8,24.1
07/01/2018,24,23.9,0.5,23.1
08/01/2018,1,19.7,0.1,19.5
08/01/2018,2,18.7,0.1,18.5
08/01/2018,3,16.8,-0.3,17.2
08/01/2018,4,13.9,-0.3,14.3
08/01/2018,5,10.5,-0.1,10.7
08/01/2018,6,15.1,0.6,14.1
08/01/2018,7,13.6,0.5,12.8
08/01/2018,8,19.9,2.5,16.0
08/01/2018,9,32.7,5.5,24.3
08/01/2018,10,121.7,44.9,53.1
08/01/2018,11,141.9,55.8,56.7
08/01/2018,12,72.8,25.5,33.8
08/01/2018,13,28.5,5.6,19.7
08/01/2018,14,50.2,14.0,28.8
08/01/2018,15,22.5,4.5,15.7
